Id,IsDeleted,MasterRecordId,Name,Type,ParentId,BillingStreet,BillingCity,BillingState,BillingPostalCode,BillingCountry,BillingLatitude,BillingLongitude,BillingGeocodeAccuracy,BillingAddress,ShippingStreet,ShippingCity,ShippingState,ShippingPostalCode,ShippingCountry,ShippingLatitude,ShippingLongitude,ShippingGeocodeAccuracy,ShippingAddress,Phone,Fax,AccountNumber,Website,PhotoUrl,Sic,Industry,AnnualRevenue,NumberOfEmployees,Ownership,TickerSymbol,Description,Rating,Site,OwnerId,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,LastActivityDate,LastViewedDate,LastReferencedDate,Jigsaw,JigsawCompanyId,CleanStatus,AccountSource,DunsNumber,Tradestyle,NaicsCode,NaicsDesc,YearStarted,SicDesc,DandbCompanyId,CustomerPriority__c,SLA__c,Active__c,NumberofLocations__c,UpsellOpportunity__c,SLASerialNumber__c,SLAExpirationDate__c,Sum_of_Opportunities__c,Potential_Value__c
001dM00000TMAXtQAP,False,,Retail Account1,Prospect,,,,,,,,,,,,,,,,,,,,,,,,/services/images/photo/001dM00000TMAXtQAP,,,,,,,,,,005dM000004WE3FQAW,2024-09-09T06:32:13.000+0000,005dM000004WE3FQAW,2024-09-09T06:32:13.000+0000,005dM000004WE3FQAW,2024-09-09T06:32:13.000+0000,,2024-09-09T06:32:13.000+0000,2024-09-09T06:32:13.000+0000,,,Pending,,,,,,,,,,,,,,,,0.0,0.0
001dM00000TMAZVQA5,False,,Retail Account2,Prospect,,,,,,,,,,,,,,,,,,,,,,,,/services/images/photo/001dM00000TMAZVQA5,,,,,,,,,,005dM000004WE3FQAW,2024-09-09T06:32:14.000+0000,005dM000004WE3FQAW,2024-09-09T06:32:14.000+0000,005dM000004WE3FQAW,2024-09-09T06:32:14.000+0000,,2024-09-09T06:32:14.000+0000,2024-09-09T06:32:14.000+0000,,,Pending,,,,,,,,,,,,,,,,0.0,0.0
001dM00000TMB2XQAX,False,,Retail Account4,Prospect,,,,,,,,,,,,,,,,,,,,,,,,/services/images/photo/001dM00000TMB2XQAX,,,,,,,,,,005dM000004WE3FQAW,2024-09-09T06:32:47.000+0000,005dM000004WE3FQAW,2024-09-09T06:32:47.000+0000,005dM000004WE3FQAW,2024-09-09T06:32:47.000+0000,,2024-09-09T06:32:47.000+0000,2024-09-09T06:32:47.000+0000,,,Pending,,,,,,,,,,,,,,,,0.0,0.0
001dM00000TMBIfQAP,False,,Retail Account5,Prospect,,,,,,,,,,,,,,,,,,,,,,,,/services/images/photo/001dM00000TMBIfQAP,,,,,,,,,,005dM000004WE3FQAW,2024-09-09T06:32:47.000+0000,005dM000004WE3FQAW,2024-09-09T06:32:47.000+0000,005dM000004WE3FQAW,2024-09-09T06:32:47.000+0000,,2024-09-09T06:32:47.000+0000,2024-09-09T06:32:47.000+0000,,,Pending,,,,,,,,,,,,,,,,0.0,0.0
001dM00000TMDNxQAP,False,,Retail Account3,Prospect,,,,,,,,,,,,,,,,,,,,,,,,/services/images/photo/001dM00000TMDNxQAP,,,,,,,,,,005dM000004WE3FQAW,2024-09-09T09:08:53.000+0000,005dM000004WE3FQAW,2024-09-09T09:08:53.000+0000,005dM000004WE3FQAW,2024-09-09T09:08:53.000+0000,,2024-09-09T09:08:53.000+0000,2024-09-09T09:08:53.000+0000,,,Pending,,,,,,,,,,,,,,,,0.0,0.0
001dM00000TMyHnQAL,False,,Retail Account3,Prospect,,,,,,,,,,,,,,,,,,,,,,,,/services/images/photo/001dM00000TMyHnQAL,,,,,,,,,,005dM000004WE3FQAW,2024-09-09T09:03:57.000+0000,005dM000004WE3FQAW,2024-09-09T09:03:57.000+0000,005dM000004WE3FQAW,2024-09-09T09:03:57.000+0000,,2024-09-09T09:03:57.000+0000,2024-09-09T09:03:57.000+0000,,,Pending,,,,,,,,,,,,,,,,0.0,0.0
001dM00000TN1AqQAL,False,,Retail Account2,Prospect,,,,,,,,,,,,,,,,,,,,,,,,/services/images/photo/001dM00000TN1AqQAL,,,,,,,,,,005dM000004WE3FQAW,2024-09-09T09:08:53.000+0000,005dM000004WE3FQAW,2024-09-09T09:08:53.000+0000,005dM000004WE3FQAW,2024-09-09T09:08:53.000+0000,,2024-09-09T09:08:53.000+0000,2024-09-09T09:08:53.000+0000,,,Pending,,,,,,,,,,,,,,,,0.0,0.0
001dM00000TN1ArQAL,False,,Retail Account2,Prospect,,,,,,,,,,,,,,,,,,,,,,,,/services/images/photo/001dM00000TN1ArQAL,,,,,,,,,,005dM000004WE3FQAW,2024-09-09T09:10:13.000+0000,005dM000004WE3FQAW,2024-09-09T09:10:13.000+0000,005dM000004WE3FQAW,2024-09-09T09:10:13.000+0000,,2024-09-09T09:10:13.000+0000,2024-09-09T09:10:13.000+0000,,,Pending,,,,,,,,,,,,,,,,0.0,0.0
001dM00000TN4cLQAT,False,,Retail Account2,Prospect,,,,,,,,,,,,,,,,,,,,,,,,/services/images/photo/001dM00000TN4cLQAT,,,,,,,,,,005dM000004WE3FQAW,2024-09-09T09:03:57.000+0000,005dM000004WE3FQAW,2024-09-09T09:03:57.000+0000,005dM000004WE3FQAW,2024-09-09T09:03:57.000+0000,,2024-09-09T09:03:57.000+0000,2024-09-09T09:03:57.000+0000,,,Pending,,,,,,,,,,,,,,,,0.0,0.0
001dM00000TN4rqQAD,False,,Retail Account5,Prospect,,,,,,,,,,,,,,,,,,,,,,,,/services/images/photo/001dM00000TN4rqQAD,,,,,,,,,,005dM000004WE3FQAW,2024-09-09T09:51:40.000+0000,005dM000004WE3FQAW,2024-09-09T09:51:40.000+0000,005dM000004WE3FQAW,2024-09-09T09:51:40.000+0000,,2024-09-09T09:51:40.000+0000,2024-09-09T09:51:40.000+0000,,,Pending,,,,,,,,,,,,,,,,0.0,0.0
001dM00000TN7oVQAT,False,,Retail Account4,Prospect,,,,,,,,,,,,,,,,,,,,,,,,/services/images/photo/001dM00000TN7oVQAT,,,,,,,,,,005dM000004WE3FQAW,2024-09-09T09:03:57.000+0000,005dM000004WE3FQAW,2024-09-09T09:03:57.000+0000,005dM000004WE3FQAW,2024-09-09T09:03:57.000+0000,,2024-09-09T09:03:57.000+0000,2024-09-09T09:03:57.000+0000,,,Pending,,,,,,,,,,,,,,,,0.0,0.0
001dM00000TNAHKQA5,False,,Retail Account3,Prospect,,,,,,,,,,,,,,,,,,,,,,,,/services/images/photo/001dM00000TNAHKQA5,,,,,,,,,,005dM000004WE3FQAW,2024-09-09T09:15:38.000+0000,005dM000004WE3FQAW,2024-09-09T09:15:38.000+0000,005dM000004WE3FQAW,2024-09-09T09:15:38.000+0000,,2024-09-09T09:15:38.000+0000,2024-09-09T09:15:38.000+0000,,,Pending,,,,,,,,,,,,,,,,0.0,0.0
001dM00000TNAIxQAP,False,,Retail Account1,Prospect,,,,,,,,,,,,,,,,,,,,,,,,/services/images/photo/001dM00000TNAIxQAP,,,,,,,,,,005dM000004WE3FQAW,2024-09-09T09:02:25.000+0000,005dM000004WE3FQAW,2024-09-09T09:02:25.000+0000,005dM000004WE3FQAW,2024-09-09T09:02:25.000+0000,,2024-09-09T09:02:25.000+0000,2024-09-09T09:02:25.000+0000,,,Pending,,,,,,,,,,,,,,,,0.0,0.0
001dM00000TNEw5QAH,False,,Retail Account3,Prospect,,,,,,,,,,,,,,,,,,,,,,,,/services/images/photo/001dM00000TNEw5QAH,,,,,,,,,,005dM000004WE3FQAW,2024-09-09T09:09:13.000+0000,005dM000004WE3FQAW,2024-09-09T09:09:13.000+0000,005dM000004WE3FQAW,2024-09-09T09:09:13.000+0000,,2024-09-09T09:09:13.000+0000,2024-09-09T09:09:13.000+0000,,,Pending,,,,,,,,,,,,,,,,0.0,0.0
001dM00000TNHzMQAX,False,,Retail Account4,Prospect,,,,,,,,,,,,,,,,,,,,,,,,/services/images/photo/001dM00000TNHzMQAX,,,,,,,,,,005dM000004WE3FQAW,2024-09-09T09:08:54.000+0000,005dM000004WE3FQAW,2024-09-09T09:08:54.000+0000,005dM000004WE3FQAW,2024-09-09T09:08:54.000+0000,,2024-09-09T09:08:54.000+0000,2024-09-09T09:08:54.000+0000,,,Pending,,,,,,,,,,,,,,,,0.0,0.0
001dM00000TNKN8QAP,False,,Retail Account1,Prospect,,,,,,,,,,,,,,,,,,,,,,,,/services/images/photo/001dM00000TNKN8QAP,,,,,,,,,,005dM000004WE3FQAW,2024-09-09T09:15:37.000+0000,005dM000004WE3FQAW,2024-09-09T09:15:37.000+0000,005dM000004WE3FQAW,2024-09-09T09:15:37.000+0000,,2024-09-09T09:15:37.000+0000,2024-09-09T09:15:37.000+0000,,,Pending,,,,,,,,,,,,,,,,0.0,0.0
001dM00000TNLcZQAX,False,,Retail Account5,Prospect,,,,,,,,,,,,,,,,,,,,,,,,/services/images/photo/001dM00000TNLcZQAX,,,,,,,,,,005dM000004WE3FQAW,2024-09-09T09:03:58.000+0000,005dM000004WE3FQAW,2024-09-09T09:03:58.000+0000,005dM000004WE3FQAW,2024-09-09T09:03:58.000+0000,,2024-09-09T09:03:58.000+0000,2024-09-09T09:03:58.000+0000,,,Pending,,,,,,,,,,,,,,,,0.0,0.0
001dM00000TNMYeQAP,False,,Retail Account4,Prospect,,,,,,,,,,,,,,,,,,,,,,,,/services/images/photo/001dM00000TNMYeQAP,,,,,,,,,,005dM000004WE3FQAW,2024-09-09T09:10:14.000+0000,005dM000004WE3FQAW,2024-09-09T09:10:14.000+0000,005dM000004WE3FQAW,2024-09-09T09:10:14.000+0000,,2024-09-09T09:10:14.000+0000,2024-09-09T09:10:14.000+0000,,,Pending,,,,,,,,,,,,,,,,0.0,0.0
001dM00000TNUvzQAH,False,,Retail Account5,Prospect,,,,,,,,,,,,,,,,,,,,,,,,/services/images/photo/001dM00000TNUvzQAH,,,,,,,,,,005dM000004WE3FQAW,2024-09-09T09:10:14.000+0000,005dM000004WE3FQAW,2024-09-09T09:10:14.000+0000,005dM000004WE3FQAW,2024-09-09T09:10:14.000+0000,,2024-09-09T09:10:14.000+0000,2024-09-09T09:10:14.000+0000,,,Pending,,,,,,,,,,,,,,,,0.0,0.0
001dM00000TNWjGQAX,False,,Retail Account3,Prospect,,,,,,,,,,,,,,,,,,,,,,,,/services/images/photo/001dM00000TNWjGQAX,,,,,,,,,,005dM000004WE3FQAW,2024-09-09T09:02:26.000+0000,005dM000004WE3FQAW,2024-09-09T09:02:26.000+0000,005dM000004WE3FQAW,2024-09-09T09:02:26.000+0000,,2024-09-09T09:02:26.000+0000,2024-09-09T09:02:26.000+0000,,,Pending,,,,,,,,,,,,,,,,0.0,0.0
001dM00000TNWswQAH,False,,Retail Account1,Prospect,,,,,,,,,,,,,,,,,,,,,,,,/services/images/photo/001dM00000TNWswQAH,,,,,,,,,,005dM000004WE3FQAW,2024-09-09T09:03:56.000+0000,005dM000004WE3FQAW,2024-09-09T09:03:56.000+0000,005dM000004WE3FQAW,2024-09-09T09:03:56.000+0000,,2024-09-09T09:03:56.000+0000,2024-09-09T09:03:56.000+0000,,,Pending,,,,,,,,,,,,,,,,0.0,0.0
001dM00000TNXxEQAX,False,,Retail Account4,Prospect,,,,,,,,,,,,,,,,,,,,,,,,/services/images/photo/001dM00000TNXxEQAX,,,,,,,,,,005dM000004WE3FQAW,2024-09-09T09:15:39.000+0000,005dM000004WE3FQAW,2024-09-09T09:15:39.000+0000,005dM000004WE3FQAW,2024-09-09T09:15:39.000+0000,,2024-09-09T09:15:39.000+0000,2024-09-09T09:15:39.000+0000,,,Pending,,,,,,,,,,,,,,,,0.0,0.0
001dM00000TNY9yQAH,False,,Retail Account4,Prospect,,,,,,,,,,,,,,,,,,,,,,,,/services/images/photo/001dM00000TNY9yQAH,,,,,,,,,,005dM000004WE3FQAW,2024-09-09T09:02:27.000+0000,005dM000004WE3FQAW,2024-09-09T09:02:27.000+0000,005dM000004WE3FQAW,2024-09-09T09:02:27.000+0000,,2024-09-09T09:02:27.000+0000,2024-09-09T09:02:27.000+0000,,,Pending,,,,,,,,,,,,,,,,0.0,0.0
001dM00000TNZqpQAH,False,,Retail Account2,Prospect,,,,,,,,,,,,,,,,,,,,,,,,/services/images/photo/001dM00000TNZqpQAH,,,,,,,,,,005dM000004WE3FQAW,2024-09-09T09:15:38.000+0000,005dM000004WE3FQAW,2024-09-09T09:15:38.000+0000,005dM000004WE3FQAW,2024-09-09T09:15:38.000+0000,,2024-09-09T09:15:38.000+0000,2024-09-09T09:15:38.000+0000,,,Pending,,,,,,,,,,,,,,,,0.0,0.0
001dM00000TNadHQAT,False,,Retail Account3,Prospect,,,,,,,,,,,,,,,,,,,,,,,,/services/images/photo/001dM00000TNadHQAT,,,,,,,,,,005dM000004WE3FQAW,2024-09-09T09:49:53.000+0000,005dM000004WE3FQAW,2024-09-09T09:49:53.000+0000,005dM000004WE3FQAW,2024-09-09T09:49:53.000+0000,,2024-09-09T09:49:53.000+0000,2024-09-09T09:49:53.000+0000,,,Pending,,,,,,,,,,,,,,,,0.0,0.0
001dM00000TNaepQAD,False,,Retail Account1,Prospect,,,,,,,,,,,,,,,,,,,,,,,,/services/images/photo/001dM00000TNaepQAD,,,,,,,,,,005dM000004WE3FQAW,2024-09-09T09:09:13.000+0000,005dM000004WE3FQAW,2024-09-09T09:09:13.000+0000,005dM000004WE3FQAW,2024-09-09T09:09:13.000+0000,,2024-09-09T09:09:13.000+0000,2024-09-09T09:09:13.000+0000,,,Pending,,,,,,,,,,,,,,,,0.0,0.0
001dM00000TNbFtQAL,False,,Retail Account2,Prospect,,,,,,,,,,,,,,,,,,,,,,,,/services/images/photo/001dM00000TNbFtQAL,,,,,,,,,,005dM000004WE3FQAW,2024-09-09T09:02:26.000+0000,005dM000004WE3FQAW,2024-09-09T09:02:26.000+0000,005dM000004WE3FQAW,2024-09-09T09:02:26.000+0000,,2024-09-09T09:02:26.000+0000,2024-09-09T09:02:26.000+0000,,,Pending,,,,,,,,,,,,,,,,0.0,0.0
001dM00000TNbfhQAD,False,,Retail Account5,Prospect,,,,,,,,,,,,,,,,,,,,,,,,/services/images/photo/001dM00000TNbfhQAD,,,,,,,,,,005dM000004WE3FQAW,2024-09-09T09:02:27.000+0000,005dM000004WE3FQAW,2024-09-09T09:02:27.000+0000,005dM000004WE3FQAW,2024-09-09T09:02:27.000+0000,,2024-09-09T09:02:27.000+0000,2024-09-09T09:02:27.000+0000,,,Pending,,,,,,,,,,,,,,,,0.0,0.0
001dM00000TNcqJQAT,False,,Retail Account3,Prospect,,,,,,,,,,,,,,,,,,,,,,,,/services/images/photo/001dM00000TNcqJQAT,,,,,,,,,,005dM000004WE3FQAW,2024-09-09T09:10:13.000+0000,005dM000004WE3FQAW,2024-09-09T09:10:13.000+0000,005dM000004WE3FQAW,2024-09-09T09:10:13.000+0000,,2024-09-09T09:10:13.000+0000,2024-09-09T09:10:13.000+0000,,,Pending,,,,,,,,,,,,,,,,0.0,0.0
001dM00000TNdxeQAD,False,,Retail Account2,Prospect,,,,,,,,,,,,,,,,,,,,,,,,/services/images/photo/001dM00000TNdxeQAD,,,,,,,,,,005dM000004WE3FQAW,2024-09-09T09:09:13.000+0000,005dM000004WE3FQAW,2024-09-09T09:09:13.000+0000,005dM000004WE3FQAW,2024-09-09T09:09:13.000+0000,,2024-09-09T09:09:13.000+0000,2024-09-09T09:09:13.000+0000,,,Pending,,,,,,,,,,,,,,,,0.0,0.0
001dM00000TNeAwQAL,False,,Retail Account2,Prospect,,,,,,,,,,,,,,,,,,,,,,,,/services/images/photo/001dM00000TNeAwQAL,,,,,,,,,,005dM000004WE3FQAW,2024-09-09T09:49:52.000+0000,005dM000004WE3FQAW,2024-09-09T09:49:52.000+0000,005dM000004WE3FQAW,2024-09-09T09:49:52.000+0000,,2024-09-09T09:49:52.000+0000,2024-09-09T09:49:52.000+0000,,,Pending,,,,,,,,,,,,,,,,0.0,0.0
001dM00000TNf0AQAT,False,,Retail Account5,Prospect,,,,,,,,,,,,,,,,,,,,,,,,/services/images/photo/001dM00000TNf0AQAT,,,,,,,,,,005dM000004WE3FQAW,2024-09-09T09:09:14.000+0000,005dM000004WE3FQAW,2024-09-09T09:09:14.000+0000,005dM000004WE3FQAW,2024-09-09T09:09:14.000+0000,,2024-09-09T09:09:14.000+0000,2024-09-09T09:09:14.000+0000,,,Pending,,,,,,,,,,,,,,,,0.0,0.0
001dM00000TNgXJQA1,False,,Retail Account1,Prospect,,,,,,,,,,,,,,,,,,,,,,,,/services/images/photo/001dM00000TNgXJQA1,,,,,,,,,,005dM000004WE3FQAW,2024-09-09T09:08:53.000+0000,005dM000004WE3FQAW,2024-09-09T09:08:53.000+0000,005dM000004WE3FQAW,2024-09-09T09:08:53.000+0000,,2024-09-09T09:08:53.000+0000,2024-09-09T09:08:53.000+0000,,,Pending,,,,,,,,,,,,,,,,0.0,0.0
001dM00000TNgXKQA1,False,,Retail Account5,Prospect,,,,,,,,,,,,,,,,,,,,,,,,/services/images/photo/001dM00000TNgXKQA1,,,,,,,,,,005dM000004WE3FQAW,2024-09-09T09:08:54.000+0000,005dM000004WE3FQAW,2024-09-09T09:08:54.000+0000,005dM000004WE3FQAW,2024-09-09T09:08:54.000+0000,,2024-09-09T09:08:54.000+0000,2024-09-09T09:08:54.000+0000,,,Pending,,,,,,,,,,,,,,,,0.0,0.0
001dM00000TNgp3QAD,False,,Retail Account4,Prospect,,,,,,,,,,,,,,,,,,,,,,,,/services/images/photo/001dM00000TNgp3QAD,,,,,,,,,,005dM000004WE3FQAW,2024-09-09T09:09:14.000+0000,005dM000004WE3FQAW,2024-09-09T09:09:14.000+0000,005dM000004WE3FQAW,2024-09-09T09:09:14.000+0000,,2024-09-09T09:09:14.000+0000,2024-09-09T09:09:14.000+0000,,,Pending,,,,,,,,,,,,,,,,0.0,0.0
001dM00000TNh1xQAD,False,,Retail Account1,Prospect,,,,,,,,,,,,,,,,,,,,,,,,/services/images/photo/001dM00000TNh1xQAD,,,,,,,,,,005dM000004WE3FQAW,2024-09-09T09:10:13.000+0000,005dM000004WE3FQAW,2024-09-09T09:10:13.000+0000,005dM000004WE3FQAW,2024-09-09T09:10:13.000+0000,,2024-09-09T09:10:13.000+0000,2024-09-09T09:10:13.000+0000,,,Pending,,,,,,,,,,,,,,,,0.0,0.0
001dM00000TNkO1QAL,False,,Retail Account5,Prospect,,,,,,,,,,,,,,,,,,,,,,,,/services/images/photo/001dM00000TNkO1QAL,,,,,,,,,,005dM000004WE3FQAW,2024-09-09T09:15:39.000+0000,005dM000004WE3FQAW,2024-09-09T09:15:39.000+0000,005dM000004WE3FQAW,2024-09-09T09:15:39.000+0000,,2024-09-09T09:15:39.000+0000,2024-09-09T09:15:39.000+0000,,,Pending,,,,,,,,,,,,,,,,0.0,0.0
001dM00000TNtHYQA1,False,,Retail Account1,Prospect,,,,,,,,,,,,,,,,,,,,,,,,/services/images/photo/001dM00000TNtHYQA1,,,,,,,,,,005dM000004WE3FQAW,2024-09-09T09:53:27.000+0000,005dM000004WE3FQAW,2024-09-09T09:53:27.000+0000,005dM000004WE3FQAW,2024-09-09T09:53:27.000+0000,,2024-09-09T09:53:27.000+0000,2024-09-09T09:53:27.000+0000,,,Pending,,,,,,,,,,,,,,,,0.0,0.0
001dM00000TNwXIQA1,False,,Retail Account3,Prospect,,,,,,,,,,,,,,,,,,,,,,,,/services/images/photo/001dM00000TNwXIQA1,,,,,,,,,,005dM000004WE3FQAW,2024-09-09T09:51:39.000+0000,005dM000004WE3FQAW,2024-09-09T09:51:39.000+0000,005dM000004WE3FQAW,2024-09-09T09:51:39.000+0000,,2024-09-09T09:51:39.000+0000,2024-09-09T09:51:39.000+0000,,,Pending,,,,,,,,,,,,,,,,0.0,0.0
001dM00000TNwc7QAD,False,,Retail Account4,Prospect,,,,,,,,,,,,,,,,,,,,,,,,/services/images/photo/001dM00000TNwc7QAD,,,,,,,,,,005dM000004WE3FQAW,2024-09-09T09:51:39.000+0000,005dM000004WE3FQAW,2024-09-09T09:51:39.000+0000,005dM000004WE3FQAW,2024-09-09T09:51:39.000+0000,,2024-09-09T09:51:39.000+0000,2024-09-09T09:51:39.000+0000,,,Pending,,,,,,,,,,,,,,,,0.0,0.0
001dM00000TNylyQAD,False,,Retail Account4,Prospect,,,,,,,,,,,,,,,,,,,,,,,,/services/images/photo/001dM00000TNylyQAD,,,,,,,,,,005dM000004WE3FQAW,2024-09-09T09:53:28.000+0000,005dM000004WE3FQAW,2024-09-09T09:53:28.000+0000,005dM000004WE3FQAW,2024-09-09T09:53:28.000+0000,,2024-09-09T09:53:28.000+0000,2024-09-09T09:53:28.000+0000,,,Pending,,,,,,,,,,,,,,,,0.0,0.0
001dM00000TNzVmQAL,False,,Retail Account2,Prospect,,,,,,,,,,,,,,,,,,,,,,,,/services/images/photo/001dM00000TNzVmQAL,,,,,,,,,,005dM000004WE3FQAW,2024-09-09T09:53:27.000+0000,005dM000004WE3FQAW,2024-09-09T09:53:27.000+0000,005dM000004WE3FQAW,2024-09-09T09:53:27.000+0000,,2024-09-09T09:53:27.000+0000,2024-09-09T09:53:27.000+0000,,,Pending,,,,,,,,,,,,,,,,0.0,0.0
001dM00000TO3PQQA1,False,,Retail Account2,Prospect,,,,,,,,,,,,,,,,,,,,,,,,/services/images/photo/001dM00000TO3PQQA1,,,,,,,,,,005dM000004WE3FQAW,2024-09-09T09:51:39.000+0000,005dM000004WE3FQAW,2024-09-09T09:51:39.000+0000,005dM000004WE3FQAW,2024-09-09T09:51:39.000+0000,,2024-09-09T09:51:39.000+0000,2024-09-09T09:51:39.000+0000,,,Pending,,,,,,,,,,,,,,,,0.0,0.0
001dM00000TO4plQAD,False,,Retail Account1,Prospect,,,,,,,,,,,,,,,,,,,,,,,,/services/images/photo/001dM00000TO4plQAD,,,,,,,,,,005dM000004WE3FQAW,2024-09-09T09:49:52.000+0000,005dM000004WE3FQAW,2024-09-09T09:49:52.000+0000,005dM000004WE3FQAW,2024-09-09T09:49:52.000+0000,,2024-09-09T09:49:52.000+0000,2024-09-09T09:49:52.000+0000,,,Pending,,,,,,,,,,,,,,,,0.0,0.0
001dM00000TO4rNQAT,False,,Retail Account4,Prospect,,,,,,,,,,,,,,,,,,,,,,,,/services/images/photo/001dM00000TO4rNQAT,,,,,,,,,,005dM000004WE3FQAW,2024-09-09T09:49:53.000+0000,005dM000004WE3FQAW,2024-09-09T09:49:53.000+0000,005dM000004WE3FQAW,2024-09-09T09:49:53.000+0000,,2024-09-09T09:49:53.000+0000,2024-09-09T09:49:53.000+0000,,,Pending,,,,,,,,,,,,,,,,0.0,0.0
001dM00000TO5b6QAD,False,,Retail Account1,Prospect,,,,,,,,,,,,,,,,,,,,,,,,/services/images/photo/001dM00000TO5b6QAD,,,,,,,,,,005dM000004WE3FQAW,2024-09-09T09:51:38.000+0000,005dM000004WE3FQAW,2024-09-09T09:51:38.000+0000,005dM000004WE3FQAW,2024-09-09T09:51:38.000+0000,,2024-09-09T09:51:38.000+0000,2024-09-09T09:51:38.000+0000,,,Pending,,,,,,,,,,,,,,,,0.0,0.0
001dM00000TO6BeQAL,False,,Retail Account3,Prospect,,,,,,,,,,,,,,,,,,,,,,,,/services/images/photo/001dM00000TO6BeQAL,,,,,,,,,,005dM000004WE3FQAW,2024-09-09T09:53:28.000+0000,005dM000004WE3FQAW,2024-09-09T09:53:28.000+0000,005dM000004WE3FQAW,2024-09-09T09:53:28.000+0000,,2024-09-09T09:53:28.000+0000,2024-09-09T09:53:28.000+0000,,,Pending,,,,,,,,,,,,,,,,0.0,0.0
001dM00000TO6l7QAD,False,,Retail Account5,Prospect,,,,,,,,,,,,,,,,,,,,,,,,/services/images/photo/001dM00000TO6l7QAD,,,,,,,,,,005dM000004WE3FQAW,2024-09-09T09:53:28.000+0000,005dM000004WE3FQAW,2024-09-09T09:53:28.000+0000,005dM000004WE3FQAW,2024-09-09T09:53:28.000+0000,,2024-09-09T09:53:28.000+0000,2024-09-09T09:53:28.000+0000,,,Pending,,,,,,,,,,,,,,,,0.0,0.0
